Topic,Count,Name,Representation,Representative_Docs
104,196,104_sauerkraut_sauerkraut sauerkraut_pork sauerkraut_sausage sauerkraut,"['sauerkraut', 'sauerkraut sauerkraut', 'pork sauerkraut', 'sausage sauerkraut', 'sauerkraut soup']","[""['sauerkraut']"", ""['sauerkraut']"", ""['sauerkraut']""]"
105,190,105_kielbasa_kielbasa kielbasa_kielbasa cabbage_kielbasa pasta,"['kielbasa', 'kielbasa kielbasa', 'kielbasa cabbage', 'kielbasa pasta', 'soup kielbasa']","[""['kielbasa']"", ""['kielbasa']"", ""['kielbasa']""]"
106,181,106_fritters_corn fritters_fritters corn_corn,"['fritters', 'corn fritters', 'fritters corn', 'corn', 'fritters fritters']","[""['fritters']"", ""['fritters']"", ""['fritters']""]"
107,178,107_mojito_lemonade_cream broccoli_broccoli soup,"['mojito', 'lemonade', 'cream broccoli', 'broccoli soup', 'lemonade lemonade']","[""['mojito']"", ""['mojito']"", ""['mojito']""]"
108,178,108_cottage_cottage cheese_cottage pie_salad cottage,"['cottage', 'cottage cheese', 'cottage pie', 'salad cottage', 'pie cottage']","[""['cottage', 'cheese']"", ""['cottage', 'cheese']"", ""['cottage', 'cheese']""]"
109,173,109_thighs_chicken thighs_thighs chicken_thighs thighs,"['thighs', 'chicken thighs', 'thighs chicken', 'thighs thighs', 'thighs spicy']","[""['chicken', 'thighs']"", ""['chicken', 'thighs']"", ""['chicken', 'thighs']""]"
110,168,110_creole_creole creole_shrimp creole_creole chicken,"['creole', 'creole creole', 'shrimp creole', 'creole chicken', 'rice creole']","[""['creole']"", ""['creole']"", ""['creole']""]"
111,167,111_tofu_tofu tofu_teriyaki tofu_tofu salad,"['tofu', 'tofu tofu', 'teriyaki tofu', 'tofu salad', 'style tofu']","[""['tofu', 'salad']"", ""['saag', 'tofu', 'tofu', 'spinach']"", ""['tofu', 'tofu', 'vegan']""]"
112,167,112_cake cake_cake_champaign cake_champaign,"['cake cake', 'cake', 'champaign cake', 'champaign', 'cake champaign']","[""['cake']"", ""['cake']"", ""['cake']""]"
113,166,113_joes_joes joes_joe_joes joe,"['joes', 'joes joes', 'joe', 'joes joe', 'joe joes']","[""['joes']"", ""['joes']"", ""['joes']""]"
114,164,114_crispy_crispy chicken_chicken crispy_crisps crispy,"['crispy', 'crispy chicken', 'chicken crispy', 'crisps crispy', 'crisps']","[""['crispy', 'chicken']"", ""['crispy', 'chicken']"", ""['crispy', 'chicken']""]"
